,title,company,location,salary,post_date,career_level,qualification,experience,job_type,industry
1022,Business Analyst / Application Consultant Trainee (ERP/Online Shop/WMS/Mobile Apps),Eastop Computer Consultants Limited,Kwun Tong,Salary negotiable,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,Full Time,Information Technology
1023,Senior Analyst Programmer / Analyst Programmer,HGC Global Communications Limited,Tsing Yi,Salary negotiable,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,3 years,"Full Time, Permanent",Telecommunication
1024,"Senior IT Manager (SAP, Infrastructure, Network & Security)",Michael Page,,Salary provided,Posted on 08 Apr 2021,Senior,Degree,10 years,"Full Time, Permanent","Information Technology (IT), Information Technology (IT) > IT Management, Information Technology (IT) > Network & System"
1025,Senior Analyst Programmer,"Banclogix System Co., Limited",Tsim Sha Tsui,Salary provided,Posted on 09 Apr 2021,Entry Level,Degree,2 years,"Full Time, Permanent",Information Technology
1026,Project Manager (Product Owner),Green Monday,Kowloon Bay,Salary provided,Posted on 09 Apr 2021,Middle,Degree,10 years,"Full Time, Permanent",Wholesale / Retail
1027,Analyst Programmer,now TV,Kwai Hing,Posted on 09 Apr 2021,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,2 years,"Full Time, Permanent",Media / Publishing / Printing
1028,Support Engineer,Chevalier Group - Network Solutions,Kowloon Bay,Posted on 09 Apr 2021,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,3 years,"Full Time, Permanent",Information Technology
1029,IT support Analyst,Randstad Hong Kong Limited,,"HK$25,000 - HK$45,000 /month (negotiable)",Posted on 08 Apr 2021,Entry Level,Degree,N/A,"Full Time, Permanent","Information Technology (IT), Information Technology (IT) > Support"
1030,Engineer - 5G Packet Core Engineering,Hutchison Telecommunications (Hong Kong) Limited,Tsing Yi,Salary provided,Posted on 09 Apr 2021,Entry Level,Degree,2 years,"Full Time, Permanent",Telecommunication
1031,數據中心 電工技術員 (A牌/ B牌),Page Personnel,Tseung Kwan O,Salary provided,Posted on 09 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent","Building & Construction, Building & Construction > Building / Construction / QS, Information Technology (IT) > Network & System"
1032,"Senior Java Developer (Backend; Spring Boot, TDD, Kotlin, Financial MNC Vendor; perm: 35-45K) ",Recruit Logic Limited,Causeway Bay,Salary provided,Posted on 10 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Human Resources Management / Consultancy
1033,Technical Project Manager - PopSquare,Radica Systems Limited,,Salary negotiable,Posted on 09 Apr 2021,Not Specified,Not Specified,5 years,Full Time,Information Technology
1034,Senior System Analyst ,"Bank of Communications Co., Ltd. Hong Kong Branch",,Posted on 09 Apr 2021,Posted on 09 Apr 2021,Middle,Degree,5 years,Full Time,"Information Technology (IT) > IT - Webmaster / SEO, Information Technology (IT) > Software Development, Information Technology (IT) > Network & System"
1035,"Senior Technical System Engineer, Windows Platform (HK$40,000 to HK$48,000 per month) (Ref.No.24638)",Global Executive Consultants Ltd.,,Salary provided,Posted on 09 Apr 2021,Senior,Degree,Not Specified,"Contract, Full Time, Permanent","Information Technology (IT) > Support, Information Technology (IT) > IT Management, Information Technology (IT) > Network & System"
1036,"System Analyst, Data Warehouse (One-year contract)",Robert Half,Central & Western Area,Salary provided,Posted on 09 Apr 2021,Middle,Degree,N/A,"Full Time, Permanent",Information Technology (IT) > Product Management / Business Analyst
1037,Senior Analyst Programmer / Analyst Programmer (Contract)                                         ,Hong Kong Baptist Hospital,Kowloon City,Salary provided,Posted on 09 Apr 2021,Middle,Degree,5 years,"Contract, Full Time","Information Technology (IT) > Software Development, Information Technology (IT) > Network & System, Information Technology (IT) > Others"
1038,IT Trainee - Web / Programmer / Business Analyst / Mobile Developer (Welcome Fresh),Seamatch Asia Limited,,Salary negotiable,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,"Information Technology (IT) > Product Management / Business Analyst, Information Technology (IT) > Software Development, Information Technology (IT) > Technical / Functional Consulting"
1039,Project Manager (On-site Pre-school Rehabilitation Services),Hong Kong Young Women’s Christian Association,Central,Salary provided,Posted on 09 Apr 2021,Middle,Degree,5 years,"Contract, Full Time",Charity / Social Services / Non-Profit Organisation
1040,Deputy Information Security Manager,"Bank of Communications Co., Ltd. Hong Kong Branch",,Posted on 09 Apr 2021,Posted on 09 Apr 2021,Senior,Degree,5 years,Full Time,"Information Technology (IT) > IT Auditing, Information Technology (IT) > Security, Information Technology (IT) > Network & System"
1041,"Project Manager / Assistant Project Manager (Digital Agency, UX/UI)",theOrigo Ltd.,Wan Chai Area,Salary negotiable,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,4 years,"Full Time, Permanent",Information Technology
1042,Senior IT Specialist / Engineer,Season Components Co Ltd,Tsuen Wan Area,Salary negotiable,Posted on 07 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Electronics / Electrical Equipment
1043,Product Marketing Manager (IT Services & Solution),Konica Minolta Business Solutions (HK) Limited,Quarry Bay,Salary provided,Posted on 08 Apr 2021,Middle,Degree,8 years,"Full Time, Permanent",Information Technology
1044,Security Product Manager,China Telecom Global Limited,Chai Wan,Salary provided,Posted on 09 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Telecommunication
1045,Project Manager ,Tata Consultancy Services Limited,Others,Salary negotiable,Posted on 08 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Information Technology (IT) > IT Project Management / Team Lead
1046,Analyst Programmer x 4,Global Esolutions (HK) Limited,Kwun Tong,Salary negotiable,Posted on 09 Apr 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Information Technology
1047,Engineer (Network Configuration),HGC Global Communications Limited,Tsing Yi,Salary provided,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,2 years,"Full Time, Permanent",Telecommunication
1048,Graduate Trainee Program (Ref: JDB/GT - 2021),Aeon Stores (Hong Kong) Co Ltd,,Salary provided,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,Not Specified,"Full Time, Permanent",Wholesale / Retail
1049,Analyst Programmer (Java) 5 days,NewTrek Systems Limited,Kwun Tong,Salary negotiable,Posted on 09 Apr 2021,Middle,Matriculated,2 years,"Full Time, Permanent",Information Technology
1050,Data Scientist,Decathlon Hong Kong Company Limited,Mong Kok,Salary provided,Posted on 09 Apr 2021,Middle,Degree,N/A,Full Time,Wholesale / Retail
1051,System Developer,Ricacorp Properties Limited,Wan Chai,Salary negotiable,Posted on 08 Apr 2021,Entry Level,Degree,Not Specified,Full Time,Property Management / Consultancy
1052,Analyst Programmer (Retail),Convenience Retail Asia Limited,Shatin Area,Salary provided,Posted on 09 Apr 2021,Entry Level,Matriculated,1 year,Full Time,Wholesale / Retail
1053,IT Support / System Engineer ,Landray Growth Software (HK) Limited,Lai Chi Kok,Salary provided,Posted on 07 Apr 2021,Middle,Non-Degree Tertiary,3 years,Full Time,Information Technology
1054,(Analyst) Programmer - .NET/ C# / GIS/ mobile app/ Java/ full stack (Fresh Graduate Welcome!),Search & Select International Limited,Admiralty,Salary provided,Posted on 10 Apr 2021,Not Specified,Degree,N/A,"Contract, Full Time",Human Resources Management / Consultancy
1055,Security Consultant,We Software Limited,Shatin Area,Salary negotiable,Posted on 09 Apr 2021,Middle,Degree,6 years,"Full Time, Permanent",Information Technology
1056,System Analyst (Mobile Application),STA Pacific Limited,Tsim Sha Tsui,Salary provided,Posted on 10 Apr 2021,Middle,Non-Degree Tertiary,3 years,"Full Time, Permanent",Human Resources Management / Consultancy
1057,UI UX Designer,Aurora Tele-Oncology Limited,Pok Fu Lam,Salary negotiable,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Medical / Pharmaceutical
1058,Officer – Markets (Trading Operations - Cash Trading),Hong Kong Exchanges and Clearing Limited,Central,Salary negotiable,Posted on 09 Apr 2021,Entry Level,Degree,1 year,Full Time,"Banking / Finance > Equities / Capital Markets, Information Technology (IT), Information Technology (IT) > Testing / QA"
1059,Data Centre Operator,Hutchison Telecommunications (Hong Kong) Limited,Tsing Yi,Salary provided,Posted on 09 Apr 2021,Entry Level,School Certificate,1 year,"Full Time, Permanent",Telecommunication
1060,Full-Stack Developer / Analyst Programmer,You Health and Fitness Club Limited,Kwai Hing,Salary provided,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,2 years,"Full Time, Permanent",Health & Beauty Care
1061,"DBA x 2 vacancies (one of the client is a FinTech , another one is an Enterprise)",NP Solution Limited,,Salary provided,Posted on 10 Apr 2021,Middle,Degree,6 years,Full Time,Information Technology
1062,"Engineer/ Assistant Engineer - Cloud Services, Mobile VAS",Hutchison Telecommunications (Hong Kong) Limited,Tsing Yi,Salary provided,Posted on 09 Apr 2021,Entry Level,Degree,2 years,"Full Time, Permanent",Telecommunication
1063,"Assistant Manager, Technology-Application Delivery & Engineering",Liberty International Insurance Limited,Quarry Bay,Salary negotiable,Posted on 08 Apr 2021,Senior,Degree,6 years,"Full Time, Permanent",Insurance / Pension Funding
1064,Test Specialist / Senior Test Specialist (Contract),Dah Sing Financial Group,North Point,Salary provided,Posted on 09 Apr 2021,Entry Level,Matriculated,1 year,"Contract, Full Time","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Support, Information Technology (IT) > Testing / QA"
1065,Senior Web Developer / Web Developer (Backend),theOrigo Ltd.,Wan Chai Area,Salary negotiable,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
1066,Assistant Business Analyst ,Ai Pu Jing Software Technology (Hong Kong) Co Ltd,Kowloon Bay,Salary provided,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,2 years,Full Time,Information Technology
1067,Consultant/Associate Consultant – Data Services,Kepro Solutions Limited,Kwun Tong,Salary negotiable,Posted on 10 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent",Trading and Distribution
1068,Change Management Officer/Project Management (Govn't Contract/Central/50K up),Copperstone Personnel Company,Central,Salary negotiable,Posted on 09 Apr 2021,Senior,Degree,8 years,"Contract, Full Time","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > IT Management, Information Technology (IT) > Product Management / Business Analyst"
1069,Project Engineer,Chevalier Group - Network Solutions,Kowloon Bay,Posted on 09 Apr 2021,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Information Technology
1070,Programmer – Applications Development,Cobalt Fashion (Hong Kong) Limited,Lai Chi Kok,Posted on 09 Apr 2021,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,Not Specified,"Full Time, Permanent",Trading and Distribution
1071,System Administrator/ System Administration Manager,AsiaPay (HK) Ltd,North Point,Salary provided,Posted on 08 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Financial Services
1072,.NET Systems Analyst / Analyst Programmer (5 days),NewTrek Systems Limited,Kwun Tong,Salary negotiable,Posted on 09 Apr 2021,Middle,Degree,4 years,"Full Time, Permanent",Information Technology
1073,Security Product Manager,China Telecom Global Limited,Chai Wan,Salary provided,Posted on 09 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Telecommunication
1074,Fintech/Payment - UXUI Manager - HK$55K ,Wellesley Associates Limited,Central & Western Area,Salary provided,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Human Resources Management / Consultancy
1075,Data Analyst (CSX7/202104/DA/AC),HKT,Quarry Bay,Posted on 09 Apr 2021,Posted on 09 Apr 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Telecommunication
1076,Senior Mobile Developer - React Native (45K - 65K),Randstad Hong Kong Limited,,"HK$45,000 - HK$70,000 /month (negotiable)",Posted on 09 Apr 2021,Middle,Degree,N/A,"Full Time, Permanent","Information Technology (IT), Information Technology (IT) > Software Development, Information Technology (IT) > Mobile / Wireless Communications"
1077,Information Security Analyst (Cyber Security Engineer),Pactera (Hong Kong) Limited,Shatin Area,Salary provided,Posted on 09 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent",Information Technology
1078,Fullstack Software Engineer ,Armitage Technologies Ltd,Kwun Tong,Salary negotiable,Posted on 09 Apr 2021,Middle,Degree,2 years,"Full Time, Permanent",Information Technology
1079,Analyst Programmer,Next Sourcing Limited,Tai Koo,Salary provided,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,3 years,"Full Time, Permanent",Clothing / Garment / Textile
1080,System Administrator (Linux) ,Serviceone Limited,Central & Western Area,Salary provided,Posted on 09 Apr 2021,Entry Level,Degree,N/A,Full Time,Information Technology
1081,System Analyst / Senior System Analyst,Armitage Technologies Ltd,,Salary negotiable,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,2 years,"Full Time, Permanent",Information Technology
1082,System analyst programmer | AI Supply Chain Optimization,Ambitious People Group,Central & Western Area,"HK$35,000 - HK$55,000 /month (negotiable)",Posted on 09 Apr 2021,Middle,Degree,N/A,"Full Time, Permanent","Information Technology (IT), Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > IT Project Management / Team Lead"
1083,Quantitative Developer Intern,火幣亞洲有限公司,Central & Western Area,Salary provided,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Internship",Information Technology
1084,Business Analyst,Appnovaiton Technologies Limited,Sheung Wan,Salary provided,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Information Technology
1085,Project Manager (On-site Pre-school Rehabilitation Services),Hong Kong Young Women’s Christian Association,Central,Salary provided,Posted on 09 Apr 2021,Middle,Degree,5 years,"Contract, Full Time",Charity / Social Services / Non-Profit Organisation
1086,"Senior Manager, Data Science $80-95K",HR Partner Asia Limited,,Salary provided,Posted on 09 Apr 2021,Senior,Degree,10 years,"Full Time, Permanent",Financial Services
1087,IT Business Analyst (Enterprise Solutions),TEKsystems,Tsim Sha Tsui,"HK$30,000 - HK$45,000 /month ",Posted on 09 Apr 2021,Middle,Degree,5 years,Full Time,Information Technology
1088,Senior Programmer / Programmer (Database) [5-day work],Centaline Data Technology Limited,Wan Chai,Salary provided,Posted on 09 Apr 2021,Not Specified,Non-Degree Tertiary,1 year,"Full Time, Permanent",Information Technology
1089,Junior Test Consultant (Renewable Contract),Peoplebank Hong Kong Limited,Shatin Area,Salary provided,Posted on 09 Apr 2021,Entry Level,Degree,1 year,"Contract, Full Time","Information Technology (IT) > Software Development, Information Technology (IT) > Testing / QA"
1090,Analyst Programmer,Armitage Technologies Ltd,,Salary negotiable,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,2 years,"Full Time, Permanent",Information Technology
1091,Programmer,Strawberry Cosmetics (Services) Limited,Shau Kei Wan,Salary provided,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Wholesale / Retail
1092,Analyst Programmer,Strawberry Cosmetics (Services) Limited,Shau Kei Wan,Salary provided,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,2 years,"Full Time, Permanent",Wholesale / Retail
1093,Marketing Assistant (Contract),Maxfair Distribution Limited,Wong Tai Sin Area,Salary negotiable,Posted on 09 Apr 2021,Entry Level,Degree,1 year,Contract,Electronics / Electrical Equipment
1094,Assistant Manager / Manager - IT System Specialist/Engineer (Ref. No.: JDB/IT/M_VP_ITSS_E/WT),Haitong International Securities Group Limited,Southern Area,Posted on 09 Apr 2021,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent","Information Technology (IT) > Support, Information Technology (IT) > Application Specialist - Network, Information Technology (IT) > Network & System"
1095,Analyst Programmer / System Analyst (2 roles),Venturenix Limited,,Salary negotiable,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Others
1096,IT System Support Engineer,The Build-Up Plastic and Metal Company Limited,Ngau Tau Kok,Salary negotiable,Posted on 09 Apr 2021,Middle,Not Specified,Not Specified,Full Time,Manufacturing
1097,Software Engineer - Enterprise Applications,The Executive Centre Limited,Central & Western Area,Salary provided,Posted on 09 Apr 2021,Middle,Degree,3 years,Full Time,General Business Services
1098,Senior Programmer,Envision Human Capital Advisory Services Limited,Southern Area,Salary provided,Posted on 09 Apr 2021,Entry Level,Matriculated,3 years,"Full Time, Permanent",Human Resources Management / Consultancy
1099,Software Test Analyst / Tester (Full-time/Part-time),Armitage Technologies Ltd,,Salary negotiable,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,2 years,"Contract, Full Time, Part Time",Information Technology
1100,Business Analyst,BridgeBuilder Company Limited,Kwai Hing,Salary negotiable,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,2 years,"Full Time, Permanent",Information Technology
1101,Manager / Vice President - IT System Specialist/Engineer (Ref. No.: JDB/IT/M_VP_ITSS_E/WT),Haitong International Securities Group Limited,Southern Area,Posted on 09 Apr 2021,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent","Information Technology (IT) > Support, Information Technology (IT) > Application Specialist - Network, Information Technology (IT) > Network & System"
1102,Developer / Programmer (Fresh Grad also Welcome) / Senior Programmer,OmniSource Limited,,Salary negotiable,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,Not Specified,"Full Time, Permanent",Information Technology
1103,Product Manager (Leased Line),China Mobile Hong Kong 中國移動香港,Kwai Hing,Posted on 09 Apr 2021,Posted on 09 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent",Telecommunication
1104,Officer – Information Technology (Contract),The Hong Kong Award for Young People,Cheung Sha Wan,Salary provided,Posted on 09 Apr 2021,Entry Level,Degree,2 years,"Contract, Full Time",Charity / Social Services / Non-Profit Organisation
1105,Blockchain Developer,Blockchain Solutions Limited,Shatin Area,Salary negotiable,Posted on 09 Apr 2021,Middle,Degree,2 years,"Full Time, Permanent",Financial Services
1106,System Analyst,Blockchain Solutions Limited,Shatin Area,Salary negotiable,Posted on 09 Apr 2021,Senior,Degree,4 years,"Full Time, Permanent",Financial Services
1107,Software Engineer(Kiosk),Blockchain Solutions Limited,Shatin Area,Salary negotiable,Posted on 09 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent",Financial Services
1108,Analyst Programmer(UI/UX),Blockchain Solutions Limited,Shatin Area,Salary negotiable,Posted on 09 Apr 2021,Middle,Degree,2 years,"Full Time, Permanent",Financial Services
1109,Assistant Change Delivery Manager (Project Management),Dah Sing Financial Group,North Point,Salary negotiable,Posted on 09 Apr 2021,Middle,Degree,5 years,"Full Time, Permanent","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Support, Information Technology (IT) > Product Management / Business Analyst"
1110,System Administrator,I-Access Group Limited,Kwun Tong,Salary negotiable,Posted on 09 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent",Financial Services
1111,Programmer / Junior Programmer,I-Access Group Limited,Causeway Bay,Salary negotiable,Posted on 09 Apr 2021,Entry Level,Degree,1 year,Full Time,Financial Services
1112,Data Scientist,Decathlon Hong Kong Company Limited,Mong Kok,Salary provided,Posted on 09 Apr 2021,Middle,Degree,N/A,Full Time,Wholesale / Retail
1113,Senior IT Officer ,aimHigher Consultancy Limited,,Salary provided,Posted on 09 Apr 2021,Middle,Degree,5 years,Full Time,"Hospitality / F & B > Hospitality / Hotel Services, Information Technology (IT) > Support, Information Technology (IT) > Network & System"
1114,Infrastructure Consultant ,Continuous Technologies International Ltd,Quarry Bay,Salary provided,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
1115,ERP System Support - 35k,"JAC Recruitment Hong Kong Co., Limited",Tsim Sha Tsui,Salary negotiable,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Electronics / Electrical Equipment
1116,"Project Manager, Core Banking Project (contract)",Dah Sing Financial Group,North Point,Salary provided,Posted on 09 Apr 2021,Senior,Degree,10 years,"Contract, Full Time","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Product Management / Business Analyst, Information Technology (IT) > Network & System"
1117,UAT Tester (Contract),Dah Sing Financial Group,North Point,Salary provided,Posted on 09 Apr 2021,Entry Level,Matriculated,1 year,"Contract, Full Time","Information Technology (IT) > Support, Information Technology (IT) > Testing / QA, Information Technology (IT) > Network & System"
1118,Project Officer,eCloudvalley Technology (HK) Limited,Wan Chai,Salary negotiable,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
1119,"Data Analyst/ Assistant Manager, Core Banking Project (contract)",Dah Sing Financial Group,North Point,Salary provided,Posted on 09 Apr 2021,Middle,Degree,4 years,"Contract, Full Time","Professional Services > Business Analysis / Data Analysis, Information Technology (IT) > IT Management, Information Technology (IT) > Product Management / Business Analyst"
1120,Web Developer / Front-end Developer,"Ashley, Brookes & Coleman Limited",Tsim Sha Tsui,Salary negotiable,Posted on 09 Apr 2021,Entry Level,School Certificate,1 year,"Full Time, Permanent",Human Resources Management / Consultancy
1121,"Manager, Data Quality Management",Dah Sing Financial Group,North Point,Salary provided,Posted on 09 Apr 2021,Senior,Degree,10 years,"Full Time, Permanent","Professional Services > Business Analysis / Data Analysis, Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > IT Management"
1122,Junior Programmer,Kader Industrial Co Ltd,Kowloon Bay,Salary negotiable,Posted on 09 Apr 2021,Not Specified,Not Specified,1 year,"Full Time, Permanent",Toys
1123,Test Manager (Core Banking Project),Dah Sing Financial Group,North Point,Salary provided,Posted on 09 Apr 2021,Senior,Degree,10 years,"Full Time, Permanent","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > IT Management, Information Technology (IT) > Testing / QA"
1124,Corporate Marketing Manager (Five-day work),CBX Software Limited,Lai Chi Kok,Salary provided,Posted on 09 Apr 2021,Senior,Degree,5 years,"Full Time, Permanent",Information Technology
1125,Project Manager - Chinese Securities Company,Robert Half,Central & Western Area,Salary provided,Posted on 09 Apr 2021,Middle,Degree,N/A,"Full Time, Permanent","Banking / Finance > Financial Services, Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Product Management / Business Analyst"
1126,"Manager, Data Management (Core Banking Project)",Dah Sing Financial Group,North Point,Salary provided,Posted on 09 Apr 2021,Senior,Degree,10 years,"Full Time, Permanent","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Support, Information Technology (IT) > Data Scientist"
1127,Service Desk Analyst - top tier professional firm,Walters People (HK),,"HK$25,000 - HK$35,000 /month (negotiable)",Posted on 09 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent","Information Technology (IT) > Hardware, Information Technology (IT) > Support, Information Technology (IT) > Network & System"
1128,Test Specialist / Senior Test Specialist (Contract),Dah Sing Financial Group,North Point,Salary provided,Posted on 09 Apr 2021,Entry Level,Matriculated,1 year,"Contract, Full Time","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Support, Information Technology (IT) > Testing / QA"
1129,Assistant Project Manager (1-year contract),Dah Sing Financial Group,North Point,Salary provided,Posted on 09 Apr 2021,Middle,Degree,4 years,"Contract, Full Time","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > IT Management, Information Technology (IT) > Product Management / Business Analyst"
1130,"Assistant Manager, UAT (contract)",Dah Sing Financial Group,North Point,Salary provided,Posted on 09 Apr 2021,Middle,School Certificate,3 years,"Contract, Full Time","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Network & System, Information Technology (IT) > Others"
1131,IT Support / Assistant (Mon-Fri),EIDEALINK LIMITED,Wan Chai,Salary provided,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Human Resources Management / Consultancy
1132,Analyst Programmer,Sompo Insurance (Hong Kong) Company Limited,Quarry Bay,Salary negotiable,Posted on 09 Apr 2021,Entry Level,Degree,3 years,"Full Time, Permanent",Insurance / Pension Funding
1133,IT Service Officer,Dah Chong Hong (Motor Service Centre) Limited,Tsing Yi,Salary provided,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,2 years,Full Time,Mixed Industry Group
1134,(Fresh graduates welcomed!) IT Support Officer - Up to 20K / TST / Good Package,RGF HR Agent Hong Kong Limited,Tsim Sha Tsui,Salary provided,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Motor Vehicles
1135,"Assistant Information Technology Manager, ITSO (TWC/21/043/ITSO/AITM)",Tung Wah College,Mong Kok,Salary provided,Posted on 09 Apr 2021,Middle,Degree,6 years,Full Time,Education
1136,IT Assistant Manager - Well know Japanese Company ( Up to 38K / Good Package ),RGF HR Agent Hong Kong Limited,Others,Salary provided,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Information Technology
1137,IT Support Technician - Japanese Logistics Company (Up to 20K/Fanling),RGF HR Agent Hong Kong Limited,Fanling,Salary provided,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Freight Forwarding / Delivery / Shipping
1138,Analyst Programmer/ System Analyst (.Net/ Mobile),Peoplebank Hong Kong Limited,Sham Shui Po,Salary negotiable,Posted on 09 Apr 2021,Middle,Degree,2 years,"Contract, Full Time","Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > Software Development, Information Technology (IT) > Testing / QA"
1139,Programmer / Analyst Programmer (JAVA),Vico Systems Limited,Kwun Tong,Salary provided,Posted on 09 Apr 2021,Entry Level,(N/A),Not Specified,"Full Time, Permanent",Information Technology
1140,System Administrator (5-days work),EIDEALINK LIMITED,Wan Chai,Salary provided,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Human Resources Management / Consultancy
1141,Application Support,EGL Tours Company Limited,Kwun Tong,Salary provided,Posted on 09 Apr 2021,Not Specified,Not Specified,Not Specified,Full Time,Tourism / Travel Agency
1142,Senior Analyst Programmer,Continuous Technologies International Ltd,Quarry Bay,Salary provided,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
1143,Analyst Programmer,Continuous Technologies International Ltd,Quarry Bay,Salary negotiable,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
1144,數據中心 電工技術員 (A牌/ B牌),Page Personnel,Tseung Kwan O,Salary provided,Posted on 09 Apr 2021,Middle,Degree,3 years,"Full Time, Permanent","Building & Construction, Building & Construction > Building / Construction / QS, Information Technology (IT) > Network & System"
1145,Business Performance Manager,Robert Walters (HK),,Salary provided,Posted on 09 Apr 2021,Middle,Degree,3 years,"Full Time, Temporary","Banking / Finance, Banking / Finance > Risk Management, Information Technology (IT) > Data Scientist"
1146,Senior/Project Manager - Securities - Institutional/Retail,Hudson,,Salary negotiable,Posted on 09 Apr 2021,Senior,Degree,10 years,"Full Time, Permanent","Information Technology (IT), Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > IT Management"
1147,Senior Developer (Equity & Asset Allocation),Eddid FinTech Limited,Wan Chai,Salary provided,Posted on 09 Apr 2021,Senior,Degree,3 years,"Full Time, Permanent",Information Technology
1148, Senior / Developer (Global Trading System),Eddid Fintech Limited,Wan Chai,Salary provided,Posted on 09 Apr 2021,Middle,Degree,1 year,"Full Time, Permanent",Information Technology
1149,IT Officer,Eddid FinTech Limited,Wan Chai,Salary provided,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,2 years,Permanent,Information Technology
1150,Senior System & Network Engineer,Eddid FinTech Limited,Wan Chai,Salary provided,Posted on 09 Apr 2021,Middle,Non-Degree Tertiary,3 years,Permanent,Information Technology
1151, Trade Support Engineer,Eddid FinTech Limited,Wan Chai,Salary provided,Posted on 09 Apr 2021,Entry Level,Non-Degree Tertiary,2 years,Permanent,Information Technology
